sweep,replica,temperature,energy,cmdl,spec,curv,accepted,proposed,code_hash,graph_hash
20,0,1,10.114878,8.955461,1.649990,0.014746,57,147,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,477a6e7000bb54bdf743bc94b69d6ef2c295ce7b4482b63a20da04a1880b82bb
21,0,1,10.822987,9.426015,1.994052,0.003783,61,154,a39bb73c575ee5133c0d845190304113ace9b48a0d0f5a23dcbe1e78951272fa,78ad0e85e6ac4bd8e3f84e53beafbdca254ce381d032e954aa8b16a0c592bd4b
22,0,1,10.111589,8.955461,1.649990,0.003783,64,161,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,78ad0e85e6ac4bd8e3f84e53beafbdca254ce381d032e954aa8b16a0c592bd4b
23,0,1,8.847458,8.282174,0.805927,0.003783,66,168,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,78ad0e85e6ac4bd8e3f84e53beafbdca254ce381d032e954aa8b16a0c592bd4b
24,0,1,10.926835,9.527381,1.994052,0.012056,71,175,add7568bcb823fd00997ce6278d7a75845bb26d203e2d0bf6169331863a2f55b,f530f4558d98a2b65ab963900e0e1247665c6cf675279edeed17630cf12f46ac
25,0,1,10.114071,8.955461,1.649990,0.012056,75,182,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,f530f4558d98a2b65ab963900e0e1247665c6cf675279edeed17630cf12f46ac
26,0,1,8.846323,8.282174,0.805927,0.000000,79,189,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,ea9cf92580e4620cfd54b8e2fcdcdc161536047f64b8ce95b75075e7965fbd47
27,0,1,10.110454,8.955461,1.649990,0.000000,81,196,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,ea9cf92580e4620cfd54b8e2fcdcdc161536047f64b8ce95b75075e7965fbd47
28,0,1,10.114418,8.955461,1.649990,0.013214,85,203,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,f1af38799aeb1d734ac3cfe2c502b5205cbe1a7d7e21d4858981605ff66230b6
29,0,1,10.923218,9.527381,1.994052,0.000000,89,210,add7568bcb823fd00997ce6278d7a75845bb26d203e2d0bf6169331863a2f55b,ea9cf92580e4620cfd54b8e2fcdcdc161536047f64b8ce95b75075e7965fbd47
