sweep,replica,temperature,energy,cmdl,spec,curv,accepted,proposed,code_hash,graph_hash
0,0,1,9.102848,8.282174,0.805927,0.014746,1,7,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,b9ea046f264d660345bf8ad5c51f93259d55d7b8a5d7b3fd5bb07a0b77fdade4
1,0,1,9.102848,8.282174,0.805927,0.014746,2,14,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,b9ea046f264d660345bf8ad5c51f93259d55d7b8a5d7b3fd5bb07a0b77fdade4
2,0,1,10.620197,8.955461,1.649990,0.014746,4,21,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,b9ea046f264d660345bf8ad5c51f93259d55d7b8a5d7b3fd5bb07a0b77fdade4
3,0,1,10.620197,8.955461,1.649990,0.014746,7,28,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,b9ea046f264d660345bf8ad5c51f93259d55d7b8a5d7b3fd5bb07a0b77fdade4
4,0,1,11.434814,9.426015,1.994052,0.014746,10,35,a39bb73c575ee5133c0d845190304113ace9b48a0d0f5a23dcbe1e78951272fa,b9ea046f264d660345bf8ad5c51f93259d55d7b8a5d7b3fd5bb07a0b77fdade4
5,0,1,11.423850,9.426015,1.994052,0.003783,14,42,a39bb73c575ee5133c0d845190304113ace9b48a0d0f5a23dcbe1e78951272fa,b0e7b16c3ea9af970cb30543b881c75d128d538d31d275eafd722dbf52339ff8
6,0,1,10.605451,8.955461,1.649990,0.000000,18,49,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,ea9cf92580e4620cfd54b8e2fcdcdc161536047f64b8ce95b75075e7965fbd47
7,0,1,10.609137,8.955461,1.649990,0.003687,21,56,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,eb2bb873b6ede19bfc1ba1b5933122b47b2906ae932acae21c694e4e0b6c16f0
8,0,1,9.091788,8.282174,0.805927,0.003687,24,63,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,eb2bb873b6ede19bfc1ba1b5933122b47b2906ae932acae21c694e4e0b6c16f0
9,0,1,9.091788,8.282174,0.805927,0.003687,26,70,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,eb2bb873b6ede19bfc1ba1b5933122b47b2906ae932acae21c694e4e0b6c16f0
10,0,1,9.088102,8.282174,0.805927,0.000000,29,77,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,3e8ef91ca56b66645d8f41d150cd5b63d40da53a6601c28d1a59e743cbe7d072
11,0,1,9.088102,8.282174,0.805927,0.000000,32,84,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,c83161efe1aa148560bddcd2114e45eee31a2b25be9b6b7554809446bd3be6fd
12,0,1,10.517298,8.854095,1.649990,0.013214,35,91,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,4d533cef5149289f121e3a979cba1c966ef4eb6301abab87d57b3e6dc11f4b18
13,0,1,10.504084,8.854095,1.649990,0.000000,39,98,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,c83161efe1aa148560bddcd2114e45eee31a2b25be9b6b7554809446bd3be6fd
14,0,1,9.088102,8.282174,0.805927,0.000000,42,105,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,c83161efe1aa148560bddcd2114e45eee31a2b25be9b6b7554809446bd3be6fd
15,0,1,9.100158,8.282174,0.805927,0.012056,44,112,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,f8bc3f4535cd04e11ee3ccb0fcb2e2570cdfa6c6231c3ab9f63f90cfb5e255d8
16,0,1,9.100158,8.282174,0.805927,0.012056,45,119,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,f8bc3f4535cd04e11ee3ccb0fcb2e2570cdfa6c6231c3ab9f63f90cfb5e255d8
17,0,1,9.100158,8.282174,0.805927,0.012056,48,126,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,f8bc3f4535cd04e11ee3ccb0fcb2e2570cdfa6c6231c3ab9f63f90cfb5e255d8
18,0,1,9.091788,8.282174,0.805927,0.003687,50,133,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
19,0,1,9.091788,8.282174,0.805927,0.003687,51,140,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
20,0,1,10.507771,8.854095,1.649990,0.003687,53,147,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
21,0,1,11.525120,9.527381,1.994052,0.003687,56,154,add7568bcb823fd00997ce6278d7a75845bb26d203e2d0bf6169331863a2f55b,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
22,0,1,9.092817,8.282174,0.805927,0.004715,60,161,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59101e25112da6f3faaf8e8819478a3010ca8ee92a4d6a46ac2428737dd176b5
23,0,1,10.507771,8.854095,1.649990,0.003687,63,168,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
24,0,1,9.088102,8.282174,0.805927,0.000000,67,175,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,c83161efe1aa148560bddcd2114e45eee31a2b25be9b6b7554809446bd3be6fd
