sweep,replica,temperature,energy,cmdl,spec,curv,accepted,proposed,code_hash,graph_hash
30,0,1,8.928802,8.282174,0.805927,0.004715,110,310,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
30,1,1.4,10.179985,8.854095,1.649990,0.014746,112,310,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,b9ea046f264d660345bf8ad5c51f93259d55d7b8a5d7b3fd5bb07a0b77fdade4
30,2,1.9599999999999997,10.276966,8.955461,1.649990,0.003783,128,310,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
31,0,1,8.928802,8.282174,0.805927,0.004715,115,320,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
31,1,1.9599999999999997,11.124136,9.527381,1.994052,0.003783,133,320,b819c5c90ea00d67796595bc41a6b54392b5ee90cb8ab940ccd89c604c81553a,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
31,2,1.4,11.128522,9.527381,1.994052,0.014746,116,320,b819c5c90ea00d67796595bc41a6b54392b5ee90cb8ab940ccd89c604c81553a,b9ea046f264d660345bf8ad5c51f93259d55d7b8a5d7b3fd5bb07a0b77fdade4
32,0,1.9599999999999997,8.928429,8.282174,0.805927,0.003783,137,330,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
32,1,1.4,8.932815,8.282174,0.805927,0.014746,120,330,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,b9ea046f264d660345bf8ad5c51f93259d55d7b8a5d7b3fd5bb07a0b77fdade4
32,2,1,8.928802,8.282174,0.805927,0.004715,118,330,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
33,0,1.4,10.179985,8.854095,1.649990,0.014746,124,340,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,b9ea046f264d660345bf8ad5c51f93259d55d7b8a5d7b3fd5bb07a0b77fdade4
33,1,1,10.175973,8.854095,1.649990,0.004715,122,340,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
33,2,1.9599999999999997,8.931739,8.282174,0.805927,0.012056,141,340,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,f530f4558d98a2b65ab963900e0e1247665c6cf675279edeed17630cf12f46ac
34,0,1,10.175973,8.854095,1.649990,0.004715,125,350,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
34,1,1.9599999999999997,11.127446,9.527381,1.994052,0.012056,146,350,add7568bcb823fd00997ce6278d7a75845bb26d203e2d0bf6169331863a2f55b,f530f4558d98a2b65ab963900e0e1247665c6cf675279edeed17630cf12f46ac
34,2,1.4,10.281351,8.955461,1.649990,0.014746,128,350,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,b9ea046f264d660345bf8ad5c51f93259d55d7b8a5d7b3fd5bb07a0b77fdade4
35,0,1.9599999999999997,11.128522,9.527381,1.994052,0.014746,152,360,add7568bcb823fd00997ce6278d7a75845bb26d203e2d0bf6169331863a2f55b,b9ea046f264d660345bf8ad5c51f93259d55d7b8a5d7b3fd5bb07a0b77fdade4
35,1,1.4,11.124098,9.527381,1.994052,0.003687,133,360,add7568bcb823fd00997ce6278d7a75845bb26d203e2d0bf6169331863a2f55b,0fed8ebb1817c673d1b0c55a29bec8eebca0fa6389faef16446700a42a96a626
35,2,1,11.124509,9.527381,1.994052,0.004715,128,360,b819c5c90ea00d67796595bc41a6b54392b5ee90cb8ab940ccd89c604c81553a,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
36,0,1.4,10.276927,8.955461,1.649990,0.003687,138,370,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,0fed8ebb1817c673d1b0c55a29bec8eebca0fa6389faef16446700a42a96a626
36,1,1,10.175600,8.854095,1.649990,0.003783,133,370,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,dcd6f6035f7b9266a19fcec451746b23889a82ee46603f50a909b509e04f8eb4
36,2,1.9599999999999997,8.932815,8.282174,0.805927,0.014746,157,370,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,b9ea046f264d660345bf8ad5c51f93259d55d7b8a5d7b3fd5bb07a0b77fdade4
37,0,1.4,11.022732,9.426015,1.994052,0.003687,143,380,a39bb73c575ee5133c0d845190304113ace9b48a0d0f5a23dcbe1e78951272fa,0fed8ebb1817c673d1b0c55a29bec8eebca0fa6389faef16446700a42a96a626
